Time,CO₂(ppm),Temperature(C),Humidity(%),Pressure(hPa)
27/10/2021 18:25:26,"436","22.9","51","1004"
27/10/2021 18:30:26,"430","22.8","51","1004"
27/10/2021 18:35:26,"432","22.9","51","1004"
27/10/2021 18:40:26,"427","22.8","51","1004"
27/10/2021 18:45:26,"433","22.8","51","1004"
27/10/2021 18:50:26,"433","22.8","51","1004"
27/10/2021 18:55:26,"436","22.8","51","1004"
27/10/2021 19:00:26,"431","22.8","51","1004"
27/10/2021 19:05:26,"432","22.8","51","1004"
27/10/2021 19:10:26,"434","22.8","51","1004"
27/10/2021 19:15:26,"444","22.8","51","1005"
27/10/2021 19:20:26,"439","22.8","51","1005"
27/10/2021 19:25:26,"444","22.8","51","1005"
27/10/2021 19:30:26,"439","22.8","51","1004"
27/10/2021 19:35:26,"443","22.8","51","1004"
27/10/2021 19:40:26,"456","22.8","51","1004"
27/10/2021 19:45:26,"452","22.8","51","1004"
27/10/2021 19:50:26,"453","22.8","51","1004"
27/10/2021 19:55:26,"441","22.8","51","1004"
27/10/2021 20:00:26,"459","22.8","51","1004"
27/10/2021 20:05:26,"441","22.8","51","1004"
27/10/2021 20:10:26,"450","22.7","51","1004"
27/10/2021 20:15:26,"442","22.7","51","1004"
27/10/2021 20:20:26,"442","22.8","50","1004"
27/10/2021 20:25:26,"450","22.7","50","1004"
27/10/2021 20:30:26,"437","22.8","50","1004"
27/10/2021 20:35:26,"440","22.7","50","1004"
27/10/2021 20:40:26,"450","22.7","50","1004"
27/10/2021 20:45:26,"451","22.7","50","1004"
27/10/2021 20:50:26,"448","22.7","50","1004"
27/10/2021 20:55:26,"434","22.7","50","1004"
27/10/2021 21:00:26,"439","22.7","50","1004"
27/10/2021 21:05:26,"442","22.6","50","1004"
27/10/2021 21:10:26,"448","22.6","50","1004"
27/10/2021 21:15:26,"457","22.6","50","1004"
27/10/2021 21:20:26,"456","22.6","50","1004"
27/10/2021 21:25:26,"450","22.6","50","1004"
27/10/2021 21:30:26,"456","22.6","50","1004"
27/10/2021 21:35:26,"452","22.6","50","1004"
27/10/2021 21:40:26,"455","22.6","50","1004"
27/10/2021 21:45:26,"448","22.6","50","1004"
27/10/2021 21:50:26,"456","22.6","50","1004"
27/10/2021 21:55:26,"450","22.6","50","1004"
27/10/2021 22:00:26,"445","22.6","50","1004"
27/10/2021 22:05:26,"445","22.6","50","1004"
27/10/2021 22:10:26,"451","22.6","50","1004"
27/10/2021 22:15:26,"459","22.6","50","1004"
27/10/2021 22:20:26,"452","22.6","50","1004"
27/10/2021 22:25:26,"443","22.6","50","1004"
27/10/2021 22:30:26,"463","22.5","50","1004"
27/10/2021 22:35:26,"446","22.6","50","1004"
27/10/2021 22:40:26,"446","22.6","50","1004"
27/10/2021 22:45:26,"445","22.5","50","1004"
27/10/2021 22:50:26,"451","22.6","50","1004"
27/10/2021 22:55:26,"440","22.5","50","1004"
27/10/2021 23:00:26,"452","22.5","50","1004"
27/10/2021 23:05:26,"448","22.5","50","1004"
27/10/2021 23:10:26,"449","22.5","50","1004"
27/10/2021 23:15:26,"448","22.5","50","1004"
27/10/2021 23:20:26,"454","22.5","50","1004"
27/10/2021 23:25:26,"451","22.5","50","1004"
27/10/2021 23:30:26,"447","22.5","50","1004"
27/10/2021 23:35:26,"451","22.5","50","1004"
27/10/2021 23:40:26,"444","22.5","49","1004"
27/10/2021 23:45:26,"458","22.5","49","1004"
27/10/2021 23:50:26,"460","22.5","49","1004"
27/10/2021 23:55:26,"446","22.5","49","1004"
28/10/2021 00:00:26,"463","22.5","49","1003"
28/10/2021 00:05:26,"455","22.5","49","1003"
28/10/2021 00:10:26,"454","22.5","49","1003"
28/10/2021 00:15:26,"457","22.5","49","1003"
28/10/2021 00:20:26,"447","22.5","49","1003"
28/10/2021 00:25:26,"457","22.5","49","1003"
28/10/2021 00:30:26,"457","22.5","49","1003"
28/10/2021 00:35:26,"448","22.5","49","1003"
28/10/2021 00:40:26,"440","22.5","49","1003"
28/10/2021 00:45:26,"453","22.5","49","1003"
28/10/2021 00:50:26,"464","22.5","49","1003"
28/10/2021 00:55:26,"453","22.5","49","1003"
28/10/2021 01:00:26,"447","22.5","49","1003"
28/10/2021 01:05:26,"456","22.5","49","1003"
28/10/2021 01:10:26,"454","22.5","49","1003"
28/10/2021 01:15:26,"450","22.5","49","1003"
28/10/2021 01:20:26,"452","22.5","49","1003"
28/10/2021 01:25:26,"455","22.4","49","1003"
28/10/2021 01:30:26,"439","22.5","49","1003"
28/10/2021 01:35:26,"450","22.4","49","1003"
28/10/2021 01:40:26,"449","22.4","49","1003"
28/10/2021 01:45:26,"457","22.4","49","1003"
28/10/2021 01:50:26,"444","22.4","49","1003"
28/10/2021 01:55:26,"457","22.4","49","1003"
28/10/2021 02:00:26,"459","22.4","49","1003"
28/10/2021 02:05:26,"449","22.4","49","1003"
28/10/2021 02:10:26,"440","22.4","49","1003"
28/10/2021 02:15:26,"447","22.4","49","1003"
28/10/2021 02:20:26,"459","22.4","49","1003"
28/10/2021 02:25:26,"461","22.4","49","1003"
28/10/2021 02:30:26,"466","22.4","49","1003"
28/10/2021 02:35:26,"450","22.4","49","1002"
28/10/2021 02:40:26,"449","22.4","49","1003"
28/10/2021 02:45:26,"447","22.4","49","1003"
28/10/2021 02:50:26,"445","22.4","49","1002"
28/10/2021 02:55:26,"450","22.4","49","1002"
28/10/2021 03:00:26,"442","22.3","49","1002"
28/10/2021 03:05:26,"442","22.4","49","1002"
28/10/2021 03:10:26,"460","22.4","49","1002"
28/10/2021 03:15:26,"452","22.4","49","1002"
28/10/2021 03:20:26,"453","22.4","49","1002"
28/10/2021 03:25:26,"461","22.4","49","1002"
28/10/2021 03:30:26,"458","22.4","49","1002"
28/10/2021 03:35:26,"462","22.3","49","1002"
28/10/2021 03:40:26,"453","22.3","49","1002"
28/10/2021 03:45:26,"449","22.3","49","1002"
28/10/2021 03:50:26,"450","22.3","49","1002"
28/10/2021 03:55:26,"458","22.3","49","1002"
28/10/2021 04:00:26,"448","22.3","49","1002"
28/10/2021 04:05:26,"459","22.3","49","1002"
28/10/2021 04:10:26,"455","22.3","49","1002"
28/10/2021 04:15:26,"460","22.3","49","1002"
28/10/2021 04:20:26,"452","22.3","49","1002"
28/10/2021 04:25:26,"467","22.3","49","1001"
28/10/2021 04:30:26,"453","22.3","49","1001"
28/10/2021 04:35:26,"454","22.3","49","1001"
28/10/2021 04:40:26,"450","22.2","48","1001"
28/10/2021 04:45:26,"447","22.2","48","1001"
28/10/2021 04:50:26,"451","22.2","49","1001"
28/10/2021 04:55:26,"446","22.2","48","1001"
28/10/2021 05:00:26,"453","22.2","48","1001"
28/10/2021 05:05:26,"460","22.2","48","1001"
28/10/2021 05:10:26,"453","22.2","48","1001"
28/10/2021 05:15:26,"453","22.2","48","1002"
28/10/2021 05:20:26,"448","22.2","48","1002"
28/10/2021 05:25:26,"447","22.2","48","1001"
28/10/2021 05:30:26,"454","22.2","48","1001"
28/10/2021 05:35:26,"447","22.2","48","1001"
28/10/2021 05:40:26,"460","22.2","48","1001"
28/10/2021 05:45:26,"451","22.2","48","1001"
28/10/2021 05:50:26,"453","22.2","48","1001"
28/10/2021 05:55:26,"456","22.2","48","1001"
28/10/2021 06:00:26,"444","22.2","48","1001"
28/10/2021 06:05:26,"443","22.2","48","1001"
28/10/2021 06:10:26,"453","22.2","48","1001"
28/10/2021 06:15:26,"452","22.2","48","1002"
28/10/2021 06:20:26,"460","22.2","48","1002"
28/10/2021 06:25:26,"456","22.1","48","1002"
28/10/2021 06:30:26,"449","22.2","48","1002"
28/10/2021 06:35:26,"465","22.2","48","1001"
28/10/2021 06:40:26,"465","22.1","49","1001"
28/10/2021 06:45:26,"473","22.1","49","1002"
28/10/2021 06:50:26,"475","22.1","49","1002"
28/10/2021 06:55:26,"465","22.1","49","1002"
28/10/2021 07:00:26,"474","22.1","49","1002"
28/10/2021 07:05:26,"467","22.0","50","1002"
28/10/2021 07:10:26,"471","22.0","50","1002"
