Time,CO₂(ppm),Temperature(C),Humidity(%),Pressure(hPa)
27/10/2021 18:24:51,"595","21.4","59","1001"
27/10/2021 18:29:51,"581","21.4","59","1001"
27/10/2021 18:34:51,"587","21.4","59","1001"
27/10/2021 18:39:51,"589","21.4","59","1001"
27/10/2021 18:44:51,"566","21.4","59","1001"
27/10/2021 18:49:51,"577","21.4","58","1001"
27/10/2021 18:54:51,"569","21.4","59","1001"
27/10/2021 18:59:51,"575","21.4","58","1001"
27/10/2021 19:04:51,"573","21.4","58","1001"
27/10/2021 19:09:51,"567","21.4","58","1001"
27/10/2021 19:14:51,"538","21.4","58","1001"
27/10/2021 19:19:51,"545","21.4","58","1002"
27/10/2021 19:24:51,"540","21.4","58","1002"
27/10/2021 19:29:51,"534","21.3","58","1001"
27/10/2021 19:34:51,"543","21.3","58","1001"
27/10/2021 19:39:51,"552","21.3","58","1001"
27/10/2021 19:44:51,"552","21.3","58","1001"
27/10/2021 19:49:51,"534","21.3","58","1001"
27/10/2021 19:54:51,"548","21.3","58","1001"
27/10/2021 19:59:51,"549","21.3","58","1001"
27/10/2021 20:04:51,"540","21.2","58","1001"
27/10/2021 20:09:51,"547","21.2","58","1001"
27/10/2021 20:14:51,"533","21.2","58","1001"
27/10/2021 20:19:51,"547","21.2","58","1001"
27/10/2021 20:24:51,"552","21.2","58","1001"
27/10/2021 20:29:51,"548","21.2","58","1001"
27/10/2021 20:34:51,"554","21.2","58","1001"
27/10/2021 20:39:51,"539","21.2","58","1001"
27/10/2021 20:44:51,"543","21.2","58","1001"
27/10/2021 20:49:51,"549","21.2","58","1001"
27/10/2021 20:54:51,"543","21.2","58","1001"
27/10/2021 20:59:51,"536","21.2","58","1001"
27/10/2021 21:04:51,"538","21.2","58","1000"
27/10/2021 21:09:51,"542","21.2","58","1000"
27/10/2021 21:14:51,"527","21.1","58","1000"
27/10/2021 21:19:51,"536","21.2","58","1001"
27/10/2021 21:24:51,"526","21.1","58","1001"
27/10/2021 21:29:51,"539","21.2","58","1001"
27/10/2021 21:34:51,"542","21.2","58","1001"
27/10/2021 21:39:51,"533","21.1","58","1001"
27/10/2021 21:44:51,"524","21.1","58","1001"
27/10/2021 21:49:51,"538","21.1","58","1001"
27/10/2021 21:54:51,"524","21.1","58","1001"
27/10/2021 21:59:51,"528","21.1","58","1001"
27/10/2021 22:04:51,"520","21.1","57","1001"
27/10/2021 22:09:51,"526","21.1","57","1001"
27/10/2021 22:14:51,"512","21.1","57","1001"
27/10/2021 22:19:51,"528","21.1","57","1001"
27/10/2021 22:24:51,"523","21.1","57","1001"
27/10/2021 22:29:51,"502","21.1","57","1001"
27/10/2021 22:34:51,"524","21.1","57","1001"
27/10/2021 22:39:51,"523","21.1","57","1001"
27/10/2021 22:44:51,"524","21.1","57","1000"
27/10/2021 22:49:51,"523","21.0","57","1001"
27/10/2021 22:54:51,"525","21.0","57","1001"
27/10/2021 22:59:51,"519","21.0","57","1001"
27/10/2021 23:04:51,"518","21.0","57","1001"
27/10/2021 23:09:51,"522","21.0","57","1001"
27/10/2021 23:14:51,"517","21.0","57","1001"
27/10/2021 23:19:51,"505","21.0","57","1001"
27/10/2021 23:24:51,"526","21.0","57","1001"
27/10/2021 23:29:51,"521","21.0","57","1000"
27/10/2021 23:34:51,"522","21.0","57","1000"
27/10/2021 23:39:51,"506","21.0","57","1000"
27/10/2021 23:44:51,"514","21.0","57","1000"
27/10/2021 23:49:51,"511","21.0","57","1000"
27/10/2021 23:54:51,"512","21.0","57","1000"
27/10/2021 23:59:51,"515","21.0","57","1000"
28/10/2021 00:04:51,"525","21.0","57","1000"
28/10/2021 00:09:51,"530","21.0","57","1000"
28/10/2021 00:14:51,"520","21.0","57","1000"
28/10/2021 00:19:51,"510","21.0","57","1000"
28/10/2021 00:24:51,"524","21.0","57","1000"
28/10/2021 00:29:51,"517","21.0","57","1000"
28/10/2021 00:34:51,"517","21.0","57","1000"
28/10/2021 00:39:51,"506","21.0","56","1000"
28/10/2021 00:44:51,"509","20.9","57","1000"
28/10/2021 00:49:51,"500","21.0","56","1000"
28/10/2021 00:54:51,"515","20.9","57","1000"
28/10/2021 00:59:51,"506","20.9","57","1000"
28/10/2021 01:04:51,"513","20.9","56","1000"
28/10/2021 01:09:51,"517","20.9","57","1000"
28/10/2021 01:14:51,"507","20.9","57","1000"
28/10/2021 01:19:51,"505","20.9","56","1000"
28/10/2021 01:24:51,"516","20.9","57","1000"
28/10/2021 01:29:51,"513","20.9","57","1000"
28/10/2021 01:34:51,"508","20.9","57","1000"
28/10/2021 01:39:51,"502","20.9","56","1000"
28/10/2021 01:44:51,"499","20.9","56","1000"
28/10/2021 01:49:51,"505","20.9","56","1000"
28/10/2021 01:54:51,"510","20.9","56","1000"
28/10/2021 01:59:51,"511","20.9","56","1000"
28/10/2021 02:04:51,"498","20.9","56","1000"
28/10/2021 02:09:51,"498","20.8","56","1000"
28/10/2021 02:14:51,"502","20.9","56","999"
28/10/2021 02:19:51,"503","20.9","56","999"
28/10/2021 02:24:51,"495","20.8","56","999"
28/10/2021 02:29:51,"499","20.8","56","999"
28/10/2021 02:34:51,"503","20.8","56","999"
28/10/2021 02:39:51,"508","20.8","56","999"
28/10/2021 02:44:51,"492","20.8","56","999"
28/10/2021 02:49:51,"495","20.8","56","999"
28/10/2021 02:54:51,"505","20.8","56","999"
28/10/2021 02:59:51,"501","20.8","56","999"
28/10/2021 03:04:51,"497","20.8","56","999"
28/10/2021 03:09:51,"504","20.8","56","999"
28/10/2021 03:14:51,"493","20.8","56","999"
28/10/2021 03:19:51,"480","20.8","56","999"
28/10/2021 03:24:51,"492","20.7","56","999"
28/10/2021 03:29:51,"495","20.8","56","999"
28/10/2021 03:34:51,"497","20.7","56","999"
28/10/2021 03:39:51,"512","20.7","56","999"
28/10/2021 03:44:51,"495","20.8","56","999"
28/10/2021 03:49:51,"502","20.8","56","998"
28/10/2021 03:54:51,"508","20.8","56","999"
28/10/2021 03:59:51,"499","20.7","56","999"
28/10/2021 04:04:51,"503","20.7","56","998"
28/10/2021 04:09:51,"483","20.8","56","998"
28/10/2021 04:14:51,"486","20.7","56","998"
28/10/2021 04:19:51,"513","20.7","56","998"
28/10/2021 04:24:51,"511","20.7","56","998"
28/10/2021 04:29:51,"499","20.7","56","998"
28/10/2021 04:34:51,"507","20.7","56","998"
28/10/2021 04:39:51,"502","20.6","56","998"
28/10/2021 04:44:51,"506","20.6","56","998"
28/10/2021 04:49:51,"493","20.6","56","998"
28/10/2021 04:54:51,"493","20.6","56","998"
28/10/2021 04:59:51,"480","20.6","56","998"
28/10/2021 05:04:51,"490","20.6","56","998"
28/10/2021 05:09:51,"498","20.6","56","998"
28/10/2021 05:14:51,"502","20.6","56","998"
28/10/2021 05:19:51,"499","20.6","56","998"
28/10/2021 05:24:51,"496","20.6","56","998"
28/10/2021 05:29:51,"477","20.6","56","998"
28/10/2021 05:34:51,"508","20.6","56","998"
28/10/2021 05:39:51,"495","20.6","56","998"
28/10/2021 05:44:51,"500","20.6","56","998"
28/10/2021 05:49:51,"487","20.6","56","998"
28/10/2021 05:54:51,"495","20.6","56","998"
28/10/2021 05:59:51,"497","20.6","56","998"
28/10/2021 06:04:51,"491","20.6","56","998"
28/10/2021 06:09:51,"494","20.6","56","998"
28/10/2021 06:14:51,"474","20.6","56","998"
28/10/2021 06:19:51,"496","20.6","56","998"
28/10/2021 06:24:51,"488","20.5","56","998"
28/10/2021 06:29:51,"503","20.6","56","998"
28/10/2021 06:34:51,"495","20.6","56","998"
28/10/2021 06:39:51,"498","20.6","56","998"
28/10/2021 06:44:51,"507","20.6","56","998"
28/10/2021 06:49:51,"500","20.6","56","998"
28/10/2021 06:54:51,"503","20.6","56","998"
28/10/2021 06:59:51,"488","20.6","56","998"
28/10/2021 07:04:51,"492","20.5","56","998"
28/10/2021 07:09:51,"495","20.6","56","998"
28/10/2021 07:14:51,"506","20.6","56","998"
28/10/2021 07:19:51,"494","20.6","56","998"
28/10/2021 07:24:51,"504","20.6","56","998"
28/10/2021 07:29:51,"513","20.6","57","998"
28/10/2021 07:34:51,"502","20.6","57","998"
28/10/2021 07:39:51,"501","20.6","57","998"
28/10/2021 07:44:51,"512","20.6","57","998"
28/10/2021 07:49:51,"506","20.6","57","998"
28/10/2021 07:54:51,"510","20.6","57","998"
28/10/2021 07:59:51,"513","20.6","57","998"
28/10/2021 08:04:51,"509","20.6","57","998"
28/10/2021 08:09:51,"507","20.6","57","998"
28/10/2021 08:14:51,"530","20.6","57","998"
28/10/2021 08:19:51,"519","20.7","57","998"
28/10/2021 08:24:51,"520","20.7","57","998"
28/10/2021 08:29:51,"637","21.0","61","998"
28/10/2021 08:34:51,"683","21.5","57","998"
28/10/2021 08:39:51,"750","21.2","57","998"
28/10/2021 08:44:51,"849","21.1","58","998"
28/10/2021 08:49:51,"943","21.1","59","998"
28/10/2021 08:54:51,"1029","21.1","59","998"
28/10/2021 08:59:51,"1089","21.0","59","998"
28/10/2021 09:04:51,"1133","21.0","60","998"
28/10/2021 09:09:51,"1156","21.1","60","998"
28/10/2021 09:14:51,"1203","21.1","60","998"
28/10/2021 09:19:51,"1207","21.2","61","998"
28/10/2021 09:24:51,"1206","21.2","61","998"
28/10/2021 09:29:51,"1219","21.2","61","998"
28/10/2021 09:34:51,"1216","21.2","61","998"
28/10/2021 09:39:51,"1262","21.3","62","998"
28/10/2021 09:44:51,"1308","21.3","62","998"
28/10/2021 09:49:51,"1332","21.4","62","998"
28/10/2021 09:54:51,"1339","21.4","62","998"
28/10/2021 09:59:51,"1388","21.4","63","998"
28/10/2021 10:04:51,"1381","21.5","62","998"
28/10/2021 10:09:51,"1397","21.5","62","998"
28/10/2021 10:14:51,"1397","21.5","63","998"
28/10/2021 10:19:51,"1362","21.5","63","998"
28/10/2021 10:24:51,"1333","21.5","62","998"
28/10/2021 10:29:51,"1315","21.5","62","998"
28/10/2021 10:34:51,"1301","21.6","62","998"
28/10/2021 10:39:51,"1253","21.5","62","998"
28/10/2021 10:44:51,"1203","21.5","61","998"
28/10/2021 10:49:51,"1146","21.5","61","998"
28/10/2021 10:54:51,"1282","21.5","62","998"
28/10/2021 10:59:51,"1380","21.5","62","998"
28/10/2021 11:04:51,"1436","21.6","63","998"
28/10/2021 11:09:51,"1433","21.6","63","998"
28/10/2021 11:14:51,"1434","21.6","63","998"
28/10/2021 11:19:51,"1394","21.6","62","998"
28/10/2021 11:24:51,"1384","21.7","62","998"
28/10/2021 11:29:51,"1335","21.7","62","998"
28/10/2021 11:34:51,"1302","21.8","62","998"
28/10/2021 11:39:51,"1361","21.8","62","998"
28/10/2021 11:44:51,"1378","21.8","61","998"
28/10/2021 11:49:51,"1401","21.8","61","998"
28/10/2021 11:54:51,"1505","21.9","62","998"
28/10/2021 11:59:51,"1551","21.9","62","998"
28/10/2021 12:04:51,"1525","21.9","61","998"
28/10/2021 12:09:51,"1518","22.0","62","998"
28/10/2021 12:14:51,"1491","22.0","61","998"
28/10/2021 12:19:51,"1460","22.0","61","998"
28/10/2021 12:24:51,"1422","22.0","61","998"
28/10/2021 12:29:51,"1402","22.0","61","998"
28/10/2021 12:34:51,"1454","22.0","61","997"
28/10/2021 12:39:51,"1432","22.0","61","997"
28/10/2021 12:44:51,"1417","22.0","61","997"
28/10/2021 12:49:51,"1383","22.0","60","997"
28/10/2021 12:54:51,"1329","22.0","60","997"
28/10/2021 12:59:51,"1300","22.0","60","997"
28/10/2021 13:04:51,"1234","22.0","60","998"
28/10/2021 13:09:51,"1192","22.0","59","998"
28/10/2021 13:14:51,"1148","21.9","59","998"
28/10/2021 13:19:51,"1121","21.9","59","998"
28/10/2021 13:24:51,"1133","21.8","59","997"
28/10/2021 13:29:51,"1289","21.9","60","997"
28/10/2021 13:34:51,"1401","21.9","60","997"
28/10/2021 13:39:51,"1516","21.9","61","997"
28/10/2021 13:44:51,"1563","21.9","61","997"
28/10/2021 13:49:51,"1529","22.0","62","997"
28/10/2021 13:54:51,"1587","22.0","62","997"
28/10/2021 13:59:51,"1717","22.2","63","997"
28/10/2021 14:04:51,"1846","22.4","63","997"
28/10/2021 14:09:51,"1911","22.4","63","997"
28/10/2021 14:14:51,"2018","22.5","63","997"
28/10/2021 14:19:51,"2105","22.6","63","997"
28/10/2021 14:24:51,"1903","22.5","62","997"
28/10/2021 14:29:51,"1784","22.5","62","997"
28/10/2021 14:34:51,"1639","22.4","62","997"
28/10/2021 14:39:51,"1531","22.3","61","997"
28/10/2021 14:44:51,"1410","22.2","61","997"
28/10/2021 14:49:51,"1341","22.1","61","997"
28/10/2021 14:54:51,"1309","22.1","61","996"
28/10/2021 14:59:51,"1282","22.0","61","996"
28/10/2021 15:04:51,"1189","22.0","60","996"
28/10/2021 15:09:51,"1118","22.0","60","996"
28/10/2021 15:14:51,"1132","22.0","60","996"
28/10/2021 15:19:51,"1181","21.9","60","996"
28/10/2021 15:24:51,"1126","21.9","60","996"
28/10/2021 15:29:51,"1056","21.8","59","996"
28/10/2021 15:34:51,"1242","22.0","61","996"
28/10/2021 15:39:51,"1255","22.4","60","996"
28/10/2021 15:44:51,"1242","22.5","60","996"
28/10/2021 15:49:51,"1248","22.6","59","995"
28/10/2021 15:54:51,"1200","22.6","59","995"
28/10/2021 15:59:51,"1176","22.7","58","995"
28/10/2021 16:04:51,"1124","22.6","58","995"
28/10/2021 16:09:51,"1057","22.6","58","995"
28/10/2021 16:14:51,"1012","22.5","57","995"
28/10/2021 16:19:51,"985","22.5","57","995"
28/10/2021 16:24:51,"969","22.5","57","995"
28/10/2021 16:29:51,"941","22.4","57","995"
28/10/2021 16:34:51,"911","22.3","57","995"
28/10/2021 16:39:51,"897","22.2","57","995"
28/10/2021 16:44:51,"870","22.1","57","995"
28/10/2021 16:49:51,"871","22.1","56","995"
28/10/2021 16:54:51,"855","22.0","56","995"
28/10/2021 16:59:51,"823","22.0","56","995"
28/10/2021 17:04:51,"801","22.0","56","995"
